,A07,A10,B25,B02,B22,A15,A08,A09,B05,B07,A02,A04,A14,A27,B17,B10,B14,B13,A03,B06
271,27335,31072,21743,21840,22566,24892,26351,23280,25571,25005,23574,25010,23858,26444,24146,28782,27928,23264,24994,16496
272,25578,29489,21743,21840,22566,24892,26495,23280,25571,23167,23431,25010,23858,26307,24146,28782,27929,23264,24850,16496
273,,29763,21887,21839,22566,24892,26495,23280,25571,23167,23719,25578,23858,25335,24146,28782,27929,23264,24849,16496
274,,29481,21887,21839,22566,25036,26495,23280,25314,23167,23289,23599,23858,24614,25581,28782,27785,23264,22864,16496
275,,29481,22031,21839,22566,24893,26495,23280,25571,23167,24869,25010,24146,23893,25581,28782,27641,23264,24849,16496
276,,29619,22031,21838,22566,24893,26495,24865,25314,25005,24869,25010,24146,23028,25581,28782,27497,23264,24849,16496
277,,29619,22175,21981,22566,24893,26495,24858,25571,25005,24869,26296,24146,23280,25581,28782,27497,23264,22864,16496
278,16777,29619,22175,21837,22566,24893,26495,24865,13224,25005,24869,25010,24146,21012,25581,28782,27353,23264,24849,16496
279,17525,29619,22319,21837,22566,24893,26495,24865,10511,23311,24869,24614,25151,21157,25581,28782,24146,23264,24849,17247
280,17525,29619,22319,21836,22566,24893,26495,24865,10511,23313,24869,24614,25151,21301,25581,28782,24146,23264,24849,16496
281,17525,29619,22463,21836,22566,24893,26495,23280,10511,23457,24869,24614,25151,21588,25581,28782,24146,23264,22864,16496
282,17525,29619,22463,21836,22566,24893,26495,23280,10511,23600,22889,24614,25151,21589,25581,28782,24146,23264,24849,16496
283,17525,29619,22607,21978,22566,24893,26495,23280,10511,23745,24869,24614,25299,21734,25581,28782,24146,23264,22864,17247
284,17382,29619,22607,21978,22566,24893,26639,23280,10511,23889,24869,24470,25151,21879,25581,28782,22021,23264,22864,17247
285,17382,29341,22751,21834,22566,24893,26639,23280,10511,23890,24869,24470,25151,22166,25581,28782,24146,23119,22864,16496
286,17382,29481,22751,21977,22566,24893,26639,24865,13224,24176,24869,24470,25151,22167,25581,28782,24146,23119,22864,16496
287,16633,29481,22895,19131,22566,24893,26639,24865,11375,24178,24869,24470,25299,22312,25327,28782,24146,23119,22864,17247
288,16633,29341,22895,21977,22566,24893,26639,24865,12239,24323,22889,24470,25299,22457,25327,28782,22021,23119,22864,17247
289,17382,29481,23039,19276,22566,24893,26639,24865,13103,26158,22889,24472,25299,22744,25327,28782,22165,23119,22864,16496
290,17382,29481,23039,19420,22566,24893,26639,24865,13823,26158,22889,24472,25299,22888,25327,25435,22165,23119,22864,16496
291,17382,29481,23039,19563,22710,24893,26639,24865,14687,26158,22889,24472,25299,22889,25327,25435,22166,23119,22864,17247
292,17525,29481,23183,19708,22710,24893,26639,24865,15551,26158,22889,24472,25299,23034,25327,28782,22166,23119,24849,17247
293,17525,29481,23183,19853,22710,24893,26639,24865,16271,26158,22889,24472,25299,25157,25327,25435,22167,23119,24849,16496
294,17525,29481,23327,20139,22710,24893,26639,24865,16991,26158,24869,24472,25299,25583,25327,28782,22167,23119,24849,16496
295,16777,29481,23471,20141,22567,24893,26639,24865,17855,26158,24869,24472,25299,25583,25327,25435,22167,23119,24849,16496
296,16777,29481,23471,20428,22711,24893,26783,24865,18575,24724,24869,24472,25299,25583,25327,25435,22311,23119,24849,16496
297,17813,29481,23615,20572,22711,24893,26783,24865,19295,25005,24869,24472,23447,25583,25327,25435,22312,23119,24849,16496
298,18102,29481,23615,20573,22711,24893,26783,23280,20015,26158,24869,24472,24436,25583,25581,25435,22312,23119,24849,16496
299,18391,29481,23615,20860,22711,24893,26783,23280,20735,26158,24869,24472,23447,25583,25581,25435,22312,23119,24849,17247
300,18679,29481,23759,21004,22711,24893,26783,23280,21455,24724,24869,24330,24436,25583,25581,25435,22312,22975,24849,16496
301,18968,29481,23759,21147,22711,24893,26783,23280,22175,26158,24869,24330,24436,25583,25327,25435,22456,22975,24849,16496
302,19257,29481,23903,21292,22711,24894,26783,23280,22751,24724,23320,24330,23447,25583,25327,28782,22457,22975,24849,16496
303,19545,29481,23903,21293,22855,24894,26783,23280,23470,26158,23464,24330,24436,25583,25327,28782,22457,22975,24849,16496
304,19834,29481,24047,21580,22855,24894,26783,23280,24331,26158,23751,24330,23447,25583,25327,25435,22457,22975,24849,16496
305,20124,29481,24047,21725,22855,24894,26783,23280,24906,26158,24182,24330,23447,25583,25327,30083,22457,22975,24849,16496
306,20411,29481,24191,21869,22855,24894,26783,23280,25625,26158,24469,24330,23447,25583,25472,31092,22601,22975,29765,16496
307,20701,29481,24333,22012,22713,24894,26783,23280,26201,26158,26304,24330,23587,25583,25472,29048,22602,22975,24852,16496
308,21134,29481,24334,22157,22713,24894,26783,23280,26776,26158,26304,24330,24017,25583,25472,31084,22602,22975,24852,16496
309,21422,29481,24334,22300,22713,24894,26783,23280,27351,26158,25765,24330,23587,25583,25472,31086,22602,22975,24852,16496
310,21711,29481,24620,22445,22713,24893,26783,23280,27926,26158,25335,24330,23447,25583,25472,31088,22746,22975,29906,16496
311,22145,29481,24621,22589,22713,24893,26927,23280,28501,26048,24904,24332,24439,25583,25472,31090,22746,22975,24852,16496
312,22433,29481,24622,22732,22713,24893,26927,23280,29760,26158,24869,24332,23447,25583,25616,31092,22747,22975,24852,16496
313,22866,29481,24622,22877,22713,24893,26927,23280,31067,26158,24869,24332,23447,25583,25616,31094,22747,22975,29765,16496
314,23300,29478,24764,23020,22713,25754,26927,23280,31068,26048,24869,24332,23447,25583,25616,30950,22747,22975,29765,16496
315,23588,29481,24908,23165,22713,24893,26927,23280,31069,26158,24869,24332,24017,25583,25614,30806,22891,22830,29906,16496
316,24022,29481,24909,23310,22713,25754,26927,23280,31071,26048,24869,24188,24017,25583,25614,30518,22892,22830,29765,16496
317,24599,29481,25051,23452,22713,24893,26927,23280,31072,26048,24869,24188,24017,25583,25614,30083,22892,22830,29765,16496
318,24887,29481,25195,23597,22713,25754,26927,23280,31073,26050,24869,24188,24017,23889,25758,29796,22893,22830,29765,16496
319,25321,29481,25196,23742,22713,24893,26927,23280,31074,26050,25438,24188,24017,25583,25758,29505,22893,22830,24852,16496
320,25899,29481,25338,23885,22713,24893,26927,23280,31075,26052,24869,24188,24017,25583,25758,29217,22893,22830,24852,16496
321,26331,29481,25338,24030,22713,24893,26927,23280,31076,26196,25438,24729,22751,25583,25758,25435,23037,22830,24852,16496
322,26765,29481,25338,24172,22713,24893,26927,23280,31077,26054,23600,23471,23183,25583,25758,28782,23038,22830,24852,16496
323,27343,29481,25481,24317,22713,24893,27071,23280,31078,26198,23600,25316,23615,25583,25758,25435,23038,22830,29765,16496
324,27775,29481,25625,24462,22713,24893,27071,23280,31080,26200,23600,27013,23903,25583,25902,25435,23038,22830,26145,16496
325,28354,29481,25626,24605,22713,24893,27071,23992,31081,26200,23600,27047,25461,25583,25902,29076,23038,22830,29765,16496
326,25728,29481,25768,24750,22713,24893,27071,24277,31082,26200,23600,26904,25450,23890,25902,29518,23182,22830,29765,17247
327,24035,29481,25768,26443,22713,24893,27071,24277,31083,26202,25438,26762,25450,24176,25902,29375,23182,22830,29626,16496
